date,cost
2020-03-22,CAD$ 11.21
2020-03-21,CAD$ 10.80
2020-03-21,CAD$ 4.39
2020-03-19,CAD$ 17.49
2020-03-11,CAD$ 39.99
2020-03-07,CAD$ 35.22
2020-02-25,CAD$ 45.49
2020-02-16,CAD$ 11.39
2020-02-03,CAD$ 29.99
2020-02-01,CAD$ 45.98
2020-01-26,CAD$ 28.37
2020-01-26,CAD$ 21.74
2020-01-25,CAD$ 17.39
2020-01-24,CAD$ 23.99
2020-01-16,CAD$ 21.74
2020-01-12,CAD$ 17.49
2020-01-10,CAD$ 13.04
2019-12-18,CAD$ 20.51
2019-12-08,CAD$ 11.49
2019-11-24,CAD$ 17.49
2019-11-17,CAD$ 79.99
2019-10-12,CAD$ 15.39
2019-10-01,CAD$ 20.49
2019-09-29,CAD$ 5.01
2019-09-25,CAD$ 64.99
2019-09-13,CAD$ 28.99
2019-09-03,CAD$ 15.95
2019-08-17,CAD$ 19.37
2019-07-31,CAD$ 18.75
2019-07-27,CAD$ 15.74
2019-07-27,CAD$ 16.99
2019-07-06,CAD$ 37.69
2019-06-30,CAD$ 17.77
2019-06-29,CAD$ 61.56
2019-06-29,CAD$ 4.79
2019-06-02,CAD$ 28.99
2019-05-28,CAD$ 20.51
2019-05-25,CAD$ 5.60
2019-05-25,CAD$ 24.99
2019-05-18,CAD$ 25.15
2019-05-05,CAD$ 28.89
2019-05-04,CAD$ 33.99
2019-04-21,CAD$ 79.99
2019-04-20,CAD$ 24.23
2019-04-08,CAD$ 14.61
2019-03-30,CAD$ 49.99
2019-03-28,CAD$ 24.99
2019-03-26,CAD$ 22.19
2019-03-10,CAD$ 18.84
2019-02-23,CAD$ 2.19
2019-02-09,CAD$ 30.29
2019-02-04,CAD$ 16.99
2019-02-04,CAD$ 17.49
2019-02-03,CAD$ 4.56
2019-02-02,CAD$ 16.19
2019-02-02,CAD$ 22.15
2019-01-27,CAD$ 22.99
2019-01-26,CAD$ 16.99
2019-01-19,CAD$ 14.49
2019-01-04,CAD$ 28.49
2019-01-04,CAD$ 6.02
2019-01-04,CAD$ 6.74
2019-01-04,CAD$ 4.49
2019-01-02,CAD$ 23.99
2018-12-29,CAD$ 48.93
2018-12-29,CAD$ 10.99
2018-12-28,CAD$ 17.09
2018-12-23,CAD$ 35.99
2018-12-23,CAD$ 32.38
2018-12-22,CAD$ 48.23
2018-12-16,CAD$ 11.49
2018-12-15,CAD$ 17.49
2018-12-10,CAD$ 4.95
2018-12-08,CAD$ 30.48
2018-12-01,CAD$ 11.39
2018-11-18,CAD$ 28.89
2018-11-12,CAD$ 51.75
2018-11-12,CAD$ 51.75
2018-11-10,CAD$ 38.99
2018-10-23,CAD$ 83.73
2018-10-12,CAD$ 26.82
2018-10-11,CAD$ 71.99
2018-10-11,CAD$ 85.99
2018-10-08,CAD$ 12.99
2018-09-25,CAD$ 45.49
2018-09-24,CAD$ 16.99
2018-09-23,CAD$ 22.23
2018-09-15,CAD$ 43.48
2018-09-09,CAD$ 33.99
2018-09-09,CAD$ 4.24
2018-09-08,CAD$ 54.26
2018-08-26,CAD$ 25.49
2018-08-18,CAD$ 22.79
2018-08-08,CAD$ 27.99
2018-08-08,CAD$ 27.99
2018-08-08,CAD$ 12.49
2018-08-08,CAD$ 12.49
2018-07-29,CAD$ 74.99
2018-07-14,CAD$ 22.79
